grid,steps_for_A6,steps_for_A7,ran_for_A6,ran_for_A7
0,203,134,True,True
1,88,23,True,True
2,967,20,True,True
3,49,114,True,True
4,166,218,True,True
5,259,241,True,True
6,126,209,True,True
7,825,612,True,True
8,611,595,True,True
9,397,11432,True,True
10,69,55,False,False
11,213,224,True,True
12,65,65,False,False
13,561,139,True,True
14,42814,27,False,True
15,6422,3325,False,True
16,887,860,True,True
17,272,11095,True,True
18,1546,44252,True,False
19,880,731,True,True
20,705,525,True,True
21,279,5,True,True
22,1618,2174,True,True
23,1163,748,True,True
24,7323,199,True,True
25,1963,1065,True,True
26,660,1919,True,True
27,641,7,True,True
28,1275,7902,True,True
29,2259,2173,True,True
30,201,7,True,True
31,1829,302,True,True
32,835,28,True,True
33,69,42,True,True
34,16340,1923,True,True
35,399,12954,True,True
36,70,864,True,True
37,729,574,True,True
38,231,2271,True,True
39,267,338,True,True
40,570,720,True,True
41,738,593,True,True
42,260,484,True,True
43,184,275,True,True
44,532,337,True,True
45,14,65,False,True
46,749,2220,True,True
47,89,106,True,True
48,4749,3461,False,True
49,1796,8,True,True
50,2378,378,True,True
51,1265,1707,True,True
52,685,173,True,True
53,493,217,True,True
54,159,10,True,True
55,132,4085,True,True
56,133,379,True,True
57,110,855,True,True
58,925,319,True,True
59,4381,203,True,True
60,375,2078,True,True
61,130,1767,True,True
62,335,624,True,True
63,3435,341,True,True
64,2105,959,True,True
65,296,1446,True,True
66,10310,21,True,True
67,19,15,False,False
68,3295,194,False,True
69,4413,4792,True,True
70,1256,3,True,True
71,1032,767,True,True
72,545,142,True,True
73,495,1834,True,True
74,761,761,True,True
75,322,821,True,True
76,45,631,True,True
77,4,4,False,False
78,7,9,False,False
79,41,212,True,False
80,133,1589,True,True
81,2058,399,True,True
82,328,234,True,True
83,9039,4387,True,True
84,848,2062,True,True
85,397,387,True,True
86,24,758,True,True
87,2979,406,True,True
88,1037,11233,True,False
89,6439,785,True,True
90,257,149,True,True
91,1192,1006,True,True
92,1390,325,True,True
93,351,481,True,True
94,280,701,True,True
95,487,1,True,True
96,3727,372,True,True
97,442,414,True,True
98,110,3014,True,True
99,622,5,True,True
